Distance: 10002.43733572113 km, Coordinates: [127.379985459058, 36.3549668394963]
Distance: 10539.234731872597 km, Coordinates: [126.92290136772323, 37.64364637984936]
Distance: 10539.751379582964 km, Coordinates: [126.92811016692019, 37.64637717499463]
Distance: 10540.758034294795 km, Coordinates: [126.926883785097, 37.6451329256381]
Distance: 10542.163143384934 km, Coordinates: [126.923141080933, 37.6422598317106]
Distance: 10542.335513805332 km, Coordinates: [126.9182694286, 37.6394626951]
Distance: 10544.072615629586 km, Coordinates: [126.9188954432, 37.6389153285]
Distance: 10545.70408119176 km, Coordinates: [126.9178999205, 37.6375379352]
Distance: 10545.70690926913 km, Coordinates: [126.917900261732, 37.6375366740938]
Distance: 10549.86429420533 km, Coordinates: [126.917656215121, 37.6352810682306]
Distance: 10549.86429420533 km, Coordinates: [126.917656215121, 37.6352810682306]
Distance: 10549.86429420533 km, Coordinates: [126.917656215121, 37.6352810682306]
Distance: 10550.078963773049 km, Coordinates: [126.91664329577098, 37.634632278285586]
Distance: 10550.078963773049 km, Coordinates: [126.91664329577098, 37.634632278285586]
Distance: 10550.082859386952 km, Coordinates: [126.916643637664, 37.6346304765514]
Distance: 10550.793892374837 km, Coordinates: [126.91947398536009, 37.63577960055745]
Distance: 10551.18298035435 km, Coordinates: [126.91778864066852, 37.634678131164364]
Distance: 10552.034815124265 km, Coordinates: [126.91769514187138, 37.63419333587795]
Distance: 10552.034815124265 km, Coordinates: [126.91769514187138, 37.63419333587795]
Distance: 10552.03728634493 km, Coordinates: [126.917695482942, 37.6341922549283]
